Time,Amount,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,label
122591.03580875084,43.86,0.691251,1.505751,1.777845,-0.228292,-1.680554,-2.037148,1.05584,-2.557282,2.154603,-0.900186,0
146277.67772568006,36.72,-0.544559,-0.359349,-1.164395,0.58191,-0.30905,-0.159715,1.431944,-0.340175,1.749088,-0.334168,0
155068.25197772993,10.69,-0.314232,-0.165176,2.613409,-2.628997,0.74512,1.876753,-1.410393,-1.82023,1.584654,-0.698337,0
102829.46642500404,387.3,-0.366259,-0.099524,0.092859,-0.637793,-2.190828,0.453472,1.776227,1.389357,1.58654,-2.39055,0
149823.04252995912,3.08,-1.722487,-0.746952,1.569917,-1.225756,1.5997,-1.236226,-0.390045,-1.08411,-0.133857,-2.167818,0
12114.686530009201,32.62,-0.593456,1.862204,-0.607515,0.831219,0.929491,-0.218768,0.901064,2.013969,-1.230883,-0.500966,0
21486.961399254396,52.73,-0.426748,-0.612185,0.763565,1.150278,0.49481,0.444394,-0.348242,-1.182979,2.015074,-1.215761,0
56088.43140676671,207.98,-0.078721,0.695026,1.265611,1.283202,3.673366,-0.98904,1.292445,0.095557,-0.524015,-1.715094,0
167544.22367771572,0.9,-0.302804,0.982879,0.62179,1.577733,-1.469875,-1.438942,-0.998978,1.757141,-0.845547,1.338554,0
31692.299302673364,29.47,-0.699819,1.361528,-0.628407,-1.65039,-1.380952,4.442577,-0.30775,0.341182,1.126862,1.869006,0
36094.93470809229,468.49,4.568046,1.570737,-1.307802,-2.591496,-2.473028,-0.906777,-0.495903,0.594673,-0.381588,0.909377,0
165043.90782000602,295.2,-1.299785,1.189523,0.321886,-1.091671,1.304264,1.608983,-1.113532,0.139951,1.410153,-0.959458,0
110758.84325546534,36.27,5.953665,-1.81626,0.173226,-0.159352,-2.566172,-1.603029,-2.569507,-0.772911,-1.336147,0.499981,0
47833.512386337636,82.95,2.940679,-0.035269,0.037333,0.122978,0.33335,-0.687447,1.437449,0.357127,-0.047366,-1.170685,0
48565.39682883845,487.85,1.097971,1.550337,-1.614567,-0.773916,-1.808057,-0.87734,-0.77437,0.086997,1.51699,-0.077199,0
6738.510972944722,3.06,0.572256,1.666346,-1.588565,1.153672,1.316036,0.129607,-1.767351,1.7615,0.121059,0.492155,0
59716.15243847649,20.66,-2.058502,1.282698,0.423324,-0.326687,2.102564,-0.43226,0.687477,-0.068512,-2.241026,-0.536348,0
116369.12447854571,15.58,1.859883,1.102183,-3.134365,0.925493,0.623077,-0.619423,-0.912032,0.07446,-0.632442,-0.262643,0
118642.73705152245,50.17,1.518772,-0.670895,0.103341,-2.030647,-1.372733,-2.596881,0.53432,-0.909998,-0.688283,0.452841,0
154253.67167410126,18.16,0.491362,0.545078,2.640755,1.353942,0.08607,-1.587789,2.176659,-0.542529,-0.003098,-0.674009,0
170054.2631295068,10.74,-0.583385,1.525495,2.712692,0.735626,-0.113697,-0.288138,0.004168,-2.046069,1.12913,1.112457,0
49264.44515029678,0.76,1.244753,0.20705,0.367263,-4.948984,0.155773,-1.847055,-0.49766,1.363361,-0.7121,0.850755,0
67928.3552262645,94.62,-0.436141,0.319725,-0.11227,0.164628,0.661334,1.233948,0.725385,-0.608904,0.771989,-1.612376,0
92812.01042624506,0.38,2.22518,0.102658,0.758505,-0.191543,-0.308316,0.010032,-0.152763,-0.542259,-0.096549,0.157807,0
92206.5200744046,3.71,-0.441965,1.807736,0.486539,0.230754,-1.397084,-0.074158,1.384791,-0.492974,0.798077,0.329357,0
86862.93521394726,23.05,-1.130812,-0.927302,-3.675186,2.37631,-0.87859,0.839645,-1.782527,-0.461294,-0.113875,1.662226,0
91949.21025384654,30.36,-1.655591,0.301452,0.646374,-0.374319,-1.921472,0.49369,3.527877,0.218336,1.375971,0.323775,0
59209.081319091725,15.38,-0.266039,-1.116678,-1.52966,-0.640223,-1.620427,-0.20533,0.514504,1.213768,-1.027813,0.601819,0
54417.907224961185,8.57,2.488316,0.199827,1.118212,-0.325278,0.78313,0.112001,-1.941557,0.956509,0.398878,2.443902,0
82328.31124020719,13.5,3.001639,1.116244,1.546899,2.083575,-0.261733,-1.102039,0.076606,0.2851,2.376994,0.219509,0
14533.656096671557,0.01,-4.043006,-0.958166,-1.647994,0.138213,1.500627,1.097427,-1.448235,1.235513,0.113217,0.864534,0
148572.51980745237,11.61,1.279295,2.402881,3.555482,0.885462,0.257646,0.546309,-1.386683,0.345677,-0.427021,-2.512342,0
103782.70080471467,30.75,-1.675544,3.537616,0.773827,0.769852,-1.149291,1.414063,1.286672,0.956234,-1.845826,-1.046768,0
59459.03156438359,6.54,-4.363094,-1.981193,0.801626,1.259246,-0.104166,-1.717874,2.118389,0.616792,-1.162495,0.689685,0
109683.7875827763,120.19,-2.091192,-0.465067,-2.805173,0.539367,0.103043,-0.727838,0.22757,-1.30524,-0.734194,-1.410811,0
139911.84626674568,169.44,-0.4707,-2.850952,0.726448,-0.432217,3.099946,-1.88839,1.226243,-2.048035,0.794238,-0.43717,0
137862.19852277203,46.19,2.068213,1.192841,-1.55551,-1.061067,-1.775358,1.546194,1.945274,-1.405014,-1.442135,0.431055,0
145497.34993940263,70.69,-1.111768,-2.437257,-1.905692,0.010219,1.087468,1.117917,-0.239779,-0.984412,-0.455725,0.588014,0
124902.31159442599,46.73,-0.349908,-2.017895,2.275002,0.115019,1.610502,0.360583,-0.42656,0.095015,-0.074027,0.349734,0
138851.30755513787,127.98,-1.415777,1.837564,-0.87828,0.036334,-1.327398,-2.542947,-1.38501,-0.867442,-0.343554,-1.235476,0
73699.1563233936,1544.23,0.684614,-0.208895,-0.768441,2.020411,-0.046492,1.362,0.248146,-0.420531,1.257687,1.231182,0
129365.89645700736,50.0,0.36437,-1.976522,1.058571,-0.168915,-0.73621,-0.94153,-0.63688,-0.469336,0.231749,-1.117705,0
2513.3182274099972,81.03,1.939812,-0.531642,-0.633702,1.885943,0.484729,1.826533,-0.771514,-0.476992,0.177802,-1.449067,0
146979.27844101205,308.44,-0.4744,1.555622,0.661053,0.735866,1.234064,-0.494342,-2.321307,-1.583984,0.992842,0.409306,0
133250.022579206,81.89,-2.827213,1.035835,-0.945854,-1.391583,3.512628,2.430072,0.875974,0.443653,-0.554366,-0.370358,0
41610.899417444336,42.35,3.201061,-0.135928,1.194881,-1.724012,-2.327058,-1.344785,-1.724847,1.469194,-0.133751,-0.532722,0
57628.656868229715,8.11,0.290857,2.96644,-0.067098,1.419969,0.296378,-0.257617,0.043824,-1.50502,0.636233,-0.460804,0
161729.9564973511,37.93,0.326626,-0.164704,0.555213,-1.425981,-0.085682,1.884206,-2.717122,0.771312,-1.500833,0.096978,0
59120.51329933545,26.63,-0.406005,-0.974133,1.527418,-0.740261,0.053023,0.945207,-0.724109,-1.641035,-0.053552,-0.926562,0
5620.523816088331,712.28,4.1447,-0.004863,-1.662979,0.16086,1.145101,-1.451441,0.430878,1.345476,-2.097192,-0.526199,0
93549.49993280534,17.28,-0.896406,0.843219,2.088407,-0.186292,1.207534,-0.079993,0.210153,-2.192635,-0.067676,-1.032392,0
148383.03535106237,138.12,0.333645,-1.890507,-2.453058,-1.679294,-1.217308,-3.054844,-2.180746,0.021243,-0.788109,0.025834,0
32850.601882628136,22.83,-0.229889,-0.805472,0.767718,-2.612527,-1.310512,-0.056438,-1.510212,-1.570875,1.134168,0.70511,0
74396.58985377279,61.3,-0.692722,-1.673773,-1.130578,0.755068,-0.484767,-0.141169,1.635261,-2.378972,-0.430713,-0.05253,0
86978.03856874342,548.84,-3.875528,-0.004434,0.183429,0.492881,0.342809,0.058781,0.037152,-0.22485,-1.668576,-0.489161,0
45848.35656958469,12.92,-0.649076,-1.263809,1.31688,-1.160708,-1.484421,-1.510291,0.926955,-3.121643,-0.744406,2.299536,0
26337.487103496132,44.84,-0.525961,-1.004785,-0.851252,0.797621,0.101976,0.229112,-0.292022,-0.619381,-0.357397,0.211248,0
117061.29870824929,62.33,0.971915,0.605994,-0.493642,-0.61684,-0.340811,-0.726443,1.386519,2.380314,1.283989,0.042033,0
87424.9898664197,219.78,-2.902689,-0.599724,-1.621982,-2.28743,0.66266,0.966821,0.692058,2.87381,1.990955,-2.456358,0
77534.2579891733,15.65,2.012273,0.968337,0.382636,0.289072,-0.883821,0.549469,-1.262164,0.786608,-0.042979,0.959418,0
34908.307499950264,174.4,0.001096,-0.793174,0.246554,-1.181709,-0.114296,1.663364,-1.347488,-1.14041,-0.879378,-0.685462,0
153560.28906986088,161.6,-1.792808,-0.352781,-0.108956,0.451065,1.265804,0.444113,-0.561265,-0.581011,-1.9207,0.24895,0
46913.818039380516,27.81,0.190743,3.268895,0.604684,1.382338,-0.45208,2.211303,0.214382,-0.99339,1.0948,-1.19979,0
158839.1477660837,49.96,0.3775,0.552355,2.82415,-0.940196,-2.297917,2.87381,1.374128,1.379143,0.180035,-0.325357,0
152049.2474984281,6.26,-2.905292,0.069207,0.87128,-0.447685,-0.991765,-0.499481,-1.845878,0.594155,-0.076344,-0.425312,0
72350.52076702383,175.87,-1.009221,-2.887125,-2.385327,0.395827,-2.902082,-2.229646,0.439916,-1.627527,0.537927,0.373224,0
150465.58293988998,30.41,-3.267342,-0.406625,1.811901,-0.716009,2.585313,1.643091,0.954381,0.376878,0.723646,0.716994,0
20802.97361475458,937.32,0.222738,0.479748,0.836185,-0.110892,0.066866,-0.574569,1.554663,-0.255319,0.238797,-1.807837,0
107978.2444120894,251.91,0.085972,0.518892,-2.709075,3.459575,1.087826,-1.911237,1.782496,2.480321,2.004261,0.039625,0
5179.43632999875,0.22,1.549752,1.897787,-2.511961,0.839721,0.168171,-2.842482,-0.213931,-0.992906,1.692588,-1.869845,0
49379.0384896196,98.31,-2.354831,-2.829391,-0.001857,-2.064801,-3.017064,-2.936043,0.287193,-0.188058,-0.412746,-1.143251,0
40080.45820884055,148.23,-3.704602,-3.767024,1.243119,-1.35367,-0.857303,0.945672,-1.277572,0.35581,0.305445,2.372493,0
138402.21108235916,182.79,4.016856,1.232106,1.283855,-0.714503,-0.899819,0.446686,0.519959,-0.025445,-0.609933,0.423048,0
73804.22587461708,70.92,1.12281,-1.558519,1.274301,-3.103848,-0.811781,0.698084,1.084306,0.003196,-1.289194,0.52741,0
74474.2461046976,3.66,1.788843,1.274325,-0.25993,-0.066964,0.34356,-1.175196,-0.060004,2.000544,1.22656,1.697355,0
14199.264139926645,110.35,-0.283976,-0.135608,-0.373178,-2.55031,-0.980105,0.036179,-0.283883,-1.763636,0.57278,-1.989151,0
41151.741753432325,41.73,-0.189248,0.215525,1.440623,-2.11028,-0.774787,0.580973,-1.54213,-1.547655,-0.326954,0.630763,0
53924.666915869166,311.14,-1.86227,0.46802,-1.122722,2.392926,-1.927997,1.802138,2.881197,2.193992,-0.923145,-0.907878,0
54494.8548363851,110.03,-0.681364,0.284665,0.191921,1.59788,1.726696,-0.106155,-0.062518,-1.714631,-0.664666,-0.666633,0
73152.31290967253,3.59,3.011436,2.731802,1.548823,0.129027,-0.15316,0.517466,0.032279,-0.730437,1.132137,-0.553738,0
2246.732382655187,11.3,-2.167252,-0.050509,1.785197,0.075777,-0.639731,0.598376,0.846168,-0.482585,-0.399002,-0.056005,0
39714.05821782846,12.77,-2.193349,0.760762,0.757585,0.955376,1.520874,1.007616,-0.226313,-1.04058,1.319553,0.209857,0
150544.1345350554,11.11,-1.373047,2.369293,-0.671271,-3.360493,2.655058,0.249392,0.597692,-0.192156,-1.888477,0.026962,0
119384.75114798218,396.36,-0.981305,0.791026,-3.207191,0.024408,-0.751677,-0.318623,-0.954108,0.870301,1.470352,0.845381,0
148129.50597749988,196.32,-3.692523,-3.014563,-0.437391,-3.546325,-1.456054,1.085338,-0.354446,0.764974,0.027637,0.268937,0
33107.261022977895,31.45,2.590289,1.50748,-1.790341,0.250917,-2.602977,1.047105,0.137805,0.806786,1.625837,-0.967098,0
169979.71828551788,39.95,2.749651,1.420109,1.776943,-0.571924,-1.377752,0.452819,0.339364,-0.452749,0.260416,-0.008076,0
131750.83445901726,0.68,0.040142,0.571303,-0.86123,0.563025,0.460801,-0.656739,-0.754209,-1.307287,-0.075209,-0.627992,0
20845.87852618382,37.06,1.314347,0.858811,1.949652,-0.072388,-3.510933,-0.423923,-0.185911,-1.155645,-0.711697,0.374137,0
98476.93754576349,19.6,1.943566,2.244895,1.520126,-0.553147,-1.211289,1.75577,-1.918754,-0.631721,-0.750679,-1.266045,0
112603.3506104734,60.89,-1.466173,-2.336551,2.8107,-0.187126,1.225104,-1.967625,-0.93612,-0.623988,-2.695331,0.265823,0
139216.1135667855,350.68,-5.048297,-1.061847,0.172057,-1.648665,-2.501647,-0.313992,0.324887,-0.309757,0.141188,0.90546,0
99926.80836413887,888.01,-0.962444,2.979082,-0.277908,-1.528391,1.77334,1.156625,1.043958,-0.063399,0.962731,-1.090319,0
62835.195291142,122.21,-0.210247,-1.186314,-0.653668,-0.586762,0.281077,-0.872657,0.020631,-0.244051,-3.373766,-1.515679,0
73990.22082923191,21.95,-0.17466,-3.227847,-0.780535,-0.331122,-0.627533,-0.630069,0.500505,0.634085,-0.488675,1.147015,0
98797.70588723978,1.36,1.13028,-1.834534,1.180861,-0.164558,0.721978,0.278239,1.487775,2.140963,-2.153566,1.325355,0
21088.20698117778,6926.75,-0.193296,0.664787,-1.506045,-1.462465,-0.777383,0.837718,0.490506,-0.411011,0.396051,-2.14027,0
171090.8086038104,507.73,2.632894,0.467679,1.487423,-0.59219,0.867604,-0.26098,-0.72688,-0.524673,1.760164,-1.073825,0
15291.504354571689,618.81,-1.341205,0.315215,0.426246,0.291207,2.561192,0.493074,0.096253,1.628024,0.671723,1.34019,0
100599.05551846002,91.36,-0.535763,0.054852,-0.756006,-1.094198,2.094511,1.024998,-1.212819,0.684561,-1.884244,0.476367,0
150098.08342272954,31.43,1.442583,-0.646041,1.361556,-1.311958,1.125769,-0.638177,-2.030339,-0.287978,-0.693872,0.845128,0
161004.74169309263,2460.97,0.843596,-0.089734,0.031394,-0.671858,-0.725288,1.687741,1.162244,-1.044207,-2.546258,1.581267,0
165283.44162615016,45.19,-1.618023,1.017058,1.377424,0.739216,1.111013,-1.083659,-0.331192,0.277298,-0.274686,-2.174245,0
113994.47916238596,118.06,6.063121,0.115208,2.125982,-0.411505,-0.434884,0.258312,0.196374,-0.788247,-0.392784,-2.523214,0
