transaction_id,user_id,merchant_category,amount,timestamp,days_employed,is_disputed,feature_0,feature_1,feature_2,feature_3,feature_4,label
0,102,online_retail,296.37,1702342854,-6583,0,-0.8367,-0.5649,-0.9052,-1.1989,0.9354,0
1,179,fuel,28.41,1700032175,-365243,0,-0.3902,0.3951,0.065,1.4496,0.8953,0
2,92,clothing,151.06,1702533526,-3129,0,0.3617,2.2954,-0.7051,-0.1877,0.6531,0
3,14,electronics,112.82,1700833230,-498,0,0.8443,-0.8787,-0.0339,0.0222,2.3306,0
4,106,fuel,12.34,1701729912,-2217,0,0.6623,1.0807,-0.3885,-0.7505,-0.4238,0
5,71,pharmacy,166.27,1701767052,-365243,0,0.5478,1.4752,-1.4225,1.9809,0.8863,0
6,188,online_retail,9.5,1700340822,-5702,0,1.001,0.9342,-0.4062,-0.1278,0.6805,0
7,20,electronics,134.3,1700510559,-2609,0,-0.2499,0.2341,-0.6637,0.7728,-0.1409,0
8,102,restaurant,125.8,1700246464,-365243,0,-0.4048,-0.8256,-0.6651,-1.3203,0.4231,0
9,121,grocery,116.93,1701082169,-4515,0,-0.5981,-0.0424,1.2151,-0.1199,-0.1577,0
10,74,online_retail,77.18,1700959468,-1371,1,0.3032,0.9161,-0.0209,0.8145,-0.6938,1
11,87,travel,85.18,1702305412,-3589,0,-0.5429,-0.343,1.143,-0.6574,0.42,0
12,116,electronics,143.37,1700115064,-2503,0,0.478,-1.075,-1.4467,-0.3229,0.8055,0
13,99,travel,101.5,1702589644,-365243,0,-1.4707,-0.8725,0.6725,-1.0686,1.0229,0
14,103,online_retail,163.12,1702150517,-6346,0,2.6509,-0.8154,1.4726,0.3279,-0.7919,0
15,151,travel,116.44,1701813508,-365243,0,1.5926,0.4068,1.1901,2.3457,-0.1075,0
16,130,online_retail,32.08,1701269087,-6201,0,0.5526,-1.1154,-0.4652,-0.0815,0.2116,0
17,149,grocery,16.61,1701540850,-1930,0,-2.1288,1.5487,0.6341,0.5167,2.0487,0
18,52,restaurant,99.96,1701528447,-5042,0,1.6211,-0.1514,-0.5697,0.623,1.5516,0
19,1,grocery,142.61,1702304123,-6115,0,-0.1486,0.8893,1.7063,0.9882,-1.595,0
20,87,fuel,15.35,1702200852,-2549,0,-1.1948,1.983,0.1098,0.3301,0.5681,0
21,157,electronics,52.53,1702456373,-4835,1,1.388,-1.6348,-0.6913,-1.0672,-2.1069,1
22,37,travel,1.21,1700068247,-6053,0,0.41,-0.8658,0.9626,-0.6067,-1.3467,0
23,129,grocery,75.88,1702253422,-112,0,1.0542,0.5229,-0.1655,-0.1094,0.6008,0
24,191,online_retail,78.15,1700153560,-365243,0,1.7016,0.4017,0.4698,-0.457,-0.2362,0
25,187,grocery,69.33,1701338618,-715,0,-3.3146,-0.9432,-1.0651,-1.0919,-0.3819,0
26,20,grocery,37.98,1700181142,-1402,0,-0.2758,-1.0651,1.2585,0.599,0.2063,0
27,160,electronics,55.83,1700586901,-2925,0,0.6455,-1.7192,-1.7475,1.2182,2.3818,0
28,57,restaurant,145.34,1701145283,-6035,0,0.0545,2.2504,0.0012,-0.7086,0.9803,0
29,21,pharmacy,20.06,1700373921,-1382,0,-2.1507,-0.5874,-0.8276,-1.1998,-0.4984,0
30,88,grocery,22.51,1701003639,-365243,0,0.2905,1.3115,1.0415,-1.5937,2.2899,0
31,48,electronics,109.95,1701000005,-4909,0,1.2464,0.0405,1.3454,-0.9213,0.8446,0
32,58,travel,201.67,1700047003,-3012,0,-1.9346,-0.3072,1.3642,-0.4582,-0.4143,0
33,169,online_retail,41.61,1700407650,-365243,0,-0.6041,-0.1972,-1.0118,1.582,-1.1991,0
34,187,fuel,269.93,1701478441,-3126,0,0.3239,0.8456,-0.7358,-1.4562,-0.578,0
35,14,pharmacy,5.94,1701443791,-37,0,-0.3958,0.9189,-0.1479,0.0025,-1.4053,0
36,189,clothing,12.62,1701194497,-1829,0,-0.1938,1.4365,1.0962,-0.503,0.8302,0
37,189,pharmacy,61.61,1700770448,-3061,0,-0.1401,0.5042,-0.2945,-0.9666,-1.0176,0
38,174,online_retail,128.55,1700791877,-3342,0,0.5269,-2.6466,1.0644,-0.2403,-0.6425,0
39,189,pharmacy,46.34,1701079729,-365243,0,0.9987,-2.7668,0.4621,1.6407,-1.3718,0
40,50,online_retail,80.91,1701840220,-365243,0,-0.4545,0.4525,-1.5707,0.2461,2.6874,0
41,107,electronics,2.9,1700134411,-5348,0,0.3272,0.2941,-1.2039,1.3297,-2.7255,0
42,54,clothing,61.96,1700412610,-3942,0,-0.0366,0.9158,-2.4998,-2.0143,-1.4775,0
43,63,grocery,27.78,1700296751,-810,0,1.3729,-0.6365,0.8965,0.7352,-1.6606,0
44,130,grocery,72.64,1700052055,-3073,0,-0.3894,-0.228,0.511,0.2277,-0.0657,0
45,50,pharmacy,74.62,1701153085,-4119,0,1.1648,1.1504,-1.4482,-0.4485,0.0317,0
46,134,electronics,139.9,1701457082,-1527,0,0.0846,0.5507,0.3731,0.5955,0.7131,0
47,20,clothing,77.62,1701136263,-3520,0,-0.2829,-0.3372,1.3949,-0.4964,0.7398,0
48,72,grocery,255.73,1702497838,-4892,1,-0.9487,-0.3928,0.28,0.5615,1.8149,1
49,166,travel,75.43,1701969921,-496,0,-0.9993,0.1492,0.6623,0.665,-0.3095,0
50,17,restaurant,1844.37,1701151228,-4996,1,0.2568,-0.4219,1.1218,0.4423,0.0928,1
51,131,restaurant,156.84,1700325341,-425,0,0.271,-0.4992,-0.7592,-1.3263,-0.1349,0
52,88,grocery,140.91,1701628637,-2748,0,-0.7349,-0.2964,1.2383,-0.2647,1.2578,0
53,59,clothing,98.69,1700935280,-2066,0,0.3855,-0.2816,-1.02,-0.1134,-0.4019,0
54,13,fuel,75.16,1701568422,-1983,0,1.1842,1.9688,1.0312,-0.7407,0.0548,0
55,8,grocery,42.27,1702299820,-1469,0,-0.2268,-0.5893,-0.091,-0.1323,1.8367,0
56,89,fuel,153.23,1701600448,-365243,0,0.3289,0.8259,1.0484,0.7552,1.3649,0
57,52,fuel,21.02,1701817765,-7207,0,-0.3716,0.9595,1.9619,-0.7209,-0.3397,0
58,129,online_retail,3.72,1701838346,-3801,0,-0.4148,2.1556,-1.0635,0.1103,0.4921,0
59,83,online_retail,119.79,1700136559,-1234,0,-0.5493,-0.9915,-0.8198,-0.2504,-0.5347,0
60,91,clothing,15.65,1702133434,-365243,0,1.4433,-0.526,-0.5359,0.3945,0.2903,0
61,110,fuel,234.16,1701703827,-365243,0,-3.1872,-0.8692,-0.5053,-1.0113,0.9624,0
62,187,travel,147.26,1702042896,-565,0,-1.4958,1.051,-2.1155,0.081,1.5641,0
63,198,clothing,92.19,1700159876,-3020,0,-0.5948,0.0234,1.0277,0.9994,0.3024,0
64,171,grocery,147.57,1700665275,-365243,1,-0.3559,0.1411,-1.1249,-1.279,0.1634,1
65,7,pharmacy,101.6,1701321878,-5953,0,0.2735,2.5708,0.7807,-0.3489,0.5104,0
66,174,travel,64.79,1702302381,-133,0,-1.7639,0.0845,0.6847,0.6933,-0.0662,0
67,34,electronics,34.41,1700010547,-365243,0,0.5698,-0.2688,0.3957,-0.9415,-1.1289,0
68,80,restaurant,290.19,1701399433,-6408,0,1.2636,-0.1853,0.4422,-0.7848,-1.1264,0
69,163,grocery,17.66,1701029293,-1831,0,-0.5448,0.4249,-2.0628,0.2073,0.681,0
70,49,grocery,139.99,1701994848,-365243,0,-0.8822,0.2414,0.1637,-0.8669,-0.1473,0
71,103,grocery,160.96,1700063146,-3627,0,-0.0141,-0.8709,-0.3481,-0.0234,0.287,0
72,131,travel,303.23,1702016950,-850,0,1.8896,-0.9682,1.3535,-0.8975,-0.0025,0
73,1,electronics,79.72,1701414447,-5358,0,0.9192,0.4404,-2.3547,1.0856,0.3233,0
74,133,pharmacy,76.54,1702180122,-3963,0,-0.5562,-0.1308,0.4273,0.5861,0.5496,0
75,53,clothing,252.94,1700716177,-1481,0,-0.7151,-0.0123,-0.8432,0.7663,-0.2441,0
76,105,online_retail,161.49,1701217895,-901,0,0.4365,-0.5139,0.0857,-0.1918,-1.2138,0
77,3,electronics,144.24,1700559865,-365243,0,1.0909,0.6685,-1.2692,-0.8195,-0.5946,0
78,53,travel,155.65,1701051497,-1540,0,1.317,0.8671,0.2166,-1.5816,0.4565,0
79,190,grocery,67.96,1700479177,-1900,0,0.169,-0.3449,1.3218,-0.1999,1.181,0
80,145,restaurant,4.23,1701491476,-7005,0,-0.3675,-0.8555,-1.2459,-0.0798,0.0444,0
81,43,grocery,22.1,1702241687,-2945,0,-0.9548,-0.9088,1.1756,0.7421,1.8307,0
82,161,clothing,103.0,1700521317,-365243,0,-1.6171,1.7082,-0.7873,-1.3153,0.2503,0
83,189,fuel,50.45,1701508797,-5944,0,-1.8598,1.0833,0.172,-0.7035,1.0022,0
84,13,restaurant,93.34,1702024676,-3245,0,-0.1355,0.0354,0.6273,-0.6307,-1.0552,0
85,94,grocery,80.22,1700072828,-6337,0,-0.1304,-1.3516,-0.4304,-1.0014,-0.3119,0
86,47,pharmacy,210.39,1700647937,-365243,1,-1.3164,-0.1736,0.5895,-1.0644,0.4692,1
87,14,restaurant,26.75,1701008449,-6934,0,-1.8087,-0.3298,-0.825,0.0578,-0.5525,0
88,199,fuel,126.93,1701399782,-5064,0,0.8644,-0.3541,1.1249,-2.0921,0.0402,0
89,189,online_retail,239.74,1702152304,-1592,0,0.1343,-0.9348,0.0011,0.4822,1.0869,0
90,39,electronics,146.95,1700358635,-84,0,-0.2854,-0.4394,-0.6014,0.0498,-0.9358,0
91,81,travel,37.67,1702320545,-3743,1,1.0628,-1.7244,0.018,-2.1561,0.3153,1
92,110,online_retail,77.21,1700086569,-4894,0,0.8084,0.185,-0.6027,0.7166,-2.7355,0
93,52,grocery,180.4,1700984131,-2128,0,-0.0673,-0.8321,0.4942,-2.5309,-0.4655,0
94,23,clothing,89.4,1700681132,-1602,0,-0.643,0.9042,-0.7923,-0.222,0.071,0
95,153,electronics,57.9,1700683850,-4618,0,-0.0236,-0.0437,0.0617,-0.0005,2.3765,0
96,187,online_retail,33.48,1700122537,-365243,0,-1.7926,-0.7912,-0.0471,1.1129,0.9538,0
97,123,grocery,40.11,1702150958,-5691,0,1.0375,-0.0353,1.2411,-0.5994,0.9159,0
98,40,electronics,27.73,1701966340,-4330,0,0.1892,0.2069,-1.3211,-1.7703,-0.2906,0
99,156,online_retail,21.78,1701333040,-1843,0,-0.0932,-1.1212,0.9258,-0.8234,0.5755,0
100,14,clothing,88.88,1701831716,-2292,0,-0.2942,0.7816,-1.1976,-1.605,0.5393,0
101,44,grocery,180.03,1701221793,-5513,1,0.7207,-1.0638,-0.3087,0.8234,0.9674,1
102,64,fuel,132.74,1701010065,-1590,0,-1.1416,0.449,0.1425,0.1047,-1.3831,0
103,88,fuel,36.81,1702166989,-365243,0,0.8229,-0.5426,-0.6479,0.4552,-0.2184,0
104,70,clothing,61.77,1701711143,-2897,0,-1.4357,1.5295,0.2282,-0.0205,-0.0313,0
105,8,restaurant,114.06,1700945424,-4489,0,0.0154,0.0966,1.1407,1.5808,-0.2898,0
106,87,clothing,330.32,1700218811,-9,0,0.6764,0.627,0.6894,1.2715,0.8519,0
107,128,restaurant,42.9,1701958754,-4709,0,0.4172,-0.6346,0.3033,-1.046,0.4612,0
108,135,grocery,35.41,1700639068,-6040,0,0.3193,-1.4315,-0.4692,-0.7414,0.7028,0
109,62,online_retail,59.65,1701859024,-6951,0,-0.2941,-1.4231,0.4459,0.2067,0.1245,0
110,138,restaurant,128.69,1701371242,-715,0,-1.1024,0.5877,-0.1131,-0.1731,-1.2579,0
111,80,grocery,325.84,1701955904,-365243,0,-1.2218,4.0995,-1.1531,-2.1072,-0.3854,0
112,135,grocery,76.9,1700991596,-110,0,-0.1905,-0.9169,-0.8218,-0.1188,0.3644,0
113,162,pharmacy,641.33,1702020148,-4930,1,-1.5049,-0.2103,0.2368,-0.5897,-1.4387,1
114,162,travel,62.44,1701160675,-266,0,-1.0251,1.7298,-2.3369,1.0253,-1.1425,0
115,32,grocery,4.07,1701724038,-365243,0,0.2403,0.0782,-1.0395,-0.1923,-0.3971,0
116,122,restaurant,224.63,1700085015,-3224,0,0.0277,1.282,1.4229,-0.7673,0.3458,0
117,4,travel,34.23,1700578621,-6128,0,1.0187,-0.433,0.5996,2.3802,-1.1402,0
118,40,travel,14.93,1702050276,-5072,0,0.4786,-1.0078,-0.6251,-0.4756,0.4429,0
119,27,grocery,556.27,1700650660,-5715,0,2.0262,-0.5971,1.0087,-0.9018,-0.4394,0
120,134,clothing,42.68,1701779417,-955,0,1.3128,0.9569,-0.4118,-0.6056,0.4686,0
121,71,clothing,14.68,1702016142,-7051,0,-0.6541,-0.4799,-0.4015,-0.1783,-0.5833,0
122,11,fuel,37.33,1700393522,-5766,0,-1.6347,1.5521,0.8209,-0.0873,-0.7386,0
123,161,travel,72.12,1700350639,-365243,0,1.203,0.4676,-0.6487,0.5075,0.0807,0
124,32,grocery,9.21,1700374344,-6816,1,0.1343,0.862,0.501,0.8539,1.8328,0
125,47,pharmacy,43.48,1701327976,-1575,0,0.5836,2.3514,1.1943,-0.2457,-1.5139,0
126,150,clothing,110.52,1702278041,-2224,0,1.2042,-1.2918,0.1553,0.7225,-1.0728,0
127,61,pharmacy,247.61,1701548496,-6669,0,-0.6298,-1.0641,2.0647,0.7344,-0.7236,0
128,36,grocery,128.47,1700295863,-7235,1,-2.1197,-1.4154,-0.5405,-0.6149,-0.1006,1
129,98,grocery,83.14,1702142856,-365243,0,-1.4108,1.0873,-1.8065,-0.075,-0.6961,0
130,171,online_retail,101.08,1700816445,-3832,0,0.9946,1.4404,0.8088,0.4426,-0.2686,0
131,103,travel,7.34,1702439287,-365243,0,1.3413,-1.0006,0.4471,1.0846,0.9161,0
132,34,online_retail,41.89,1701389068,-1059,0,0.5288,0.5016,0.8922,-0.1329,1.4267,0
133,192,pharmacy,115.28,1700226884,-1958,0,2.057,-1.8485,-0.3939,-1.1157,-0.6525,0
134,100,online_retail,133.05,1701216424,-365243,0,0.1238,0.471,-0.1651,0.6357,-0.7366,0
135,174,fuel,44.0,1700312067,-4945,0,-0.4048,0.6459,-0.3307,-1.289,2.2317,0
136,130,travel,0.68,1700078563,-5059,0,0.9382,0.1631,0.8923,0.4173,-1.5882,0
137,0,electronics,0.69,1701138355,-5922,0,0.1532,-0.7234,0.1129,0.4044,0.9521,0
138,4,online_retail,77.25,1701737225,-365243,0,-0.9858,-0.9491,-0.4742,1.4642,-0.3635,0
139,141,pharmacy,80.18,1700937243,-2520,0,0.5349,-0.0559,-0.3953,0.1344,0.7919,0
140,102,clothing,246.95,1702196856,-3654,1,1.8372,-1.5369,-0.1372,0.8678,0.3965,1
141,26,clothing,127.92,1701310333,-365243,0,1.1309,1.7405,0.164,-0.062,0.4298,0
142,136,clothing,254.17,1702207386,-2928,0,1.2873,-0.1591,-1.1467,0.3598,0.9283,0
143,14,restaurant,462.23,1701372407,-3888,0,0.3996,0.4389,-0.0386,-0.2349,1.2708,0
144,89,grocery,120.75,1702133643,-365243,0,-1.7838,0.0917,-0.9823,-0.0327,0.264,0
145,41,travel,72.15,1701069024,-6198,0,0.5059,0.1418,1.3906,0.1056,-1.0614,0
146,123,clothing,15.2,1700504393,-7223,0,1.0348,0.3366,-0.9597,0.7309,-0.5583,0
147,178,electronics,48.48,1701362270,-365243,0,0.9353,-1.2615,-0.125,0.4302,-1.0667,0
148,62,clothing,84.97,1702380742,-745,0,0.5232,1.0328,-0.2036,0.393,-0.7954,0
149,95,fuel,856.05,1700338723,-365243,0,2.8614,0.0062,0.3312,-0.268,-0.6606,0
150,51,grocery,13.58,1700901111,-3515,0,0.9644,-2.4069,-1.8239,0.3202,-0.3677,0
151,95,pharmacy,157.54,1702114253,-2931,0,0.8454,-0.518,-1.6715,-0.0664,-0.268,0
152,131,grocery,684.97,1700983682,-5538,0,-1.0825,0.7863,0.3569,-0.9858,-1.5329,0
153,150,online_retail,407.45,1700290160,-2680,1,0.0867,-1.2518,-0.9598,-0.9684,0.0646,1
154,142,pharmacy,145.73,1700614769,-5345,0,0.5029,1.057,-0.4637,0.5876,-0.1742,0
155,170,pharmacy,29.93,1701842557,-365243,0,1.177,-0.8482,0.5242,-0.8271,-0.9071,0
156,28,online_retail,0.34,1700210005,-176,0,-0.4564,-2.1022,0.9865,-0.873,-0.4608,0
157,35,travel,25.62,1701620706,-566,0,-0.9673,0.9499,0.2671,0.5508,0.1698,0
158,12,online_retail,155.97,1700046539,-365243,0,0.1683,0.3322,0.9492,-1.1474,-0.5707,0
159,159,restaurant,11.35,1701606581,-6915,0,-1.0514,0.5999,0.4413,0.7181,-2.5502,0
160,70,pharmacy,35.11,1700770569,-5784,0,-0.4327,-2.3803,1.9512,0.127,-0.8175,0
161,186,pharmacy,82.67,1702513384,-5505,0,-0.1223,-0.0181,1.977,-0.1924,0.1856,0
162,85,online_retail,86.7,1701234848,-4358,0,-0.5931,2.1095,1.5724,-1.9561,0.8537,0
163,27,travel,78.3,1700115042,-4627,0,0.448,-0.7759,-0.9933,-2.03,0.6427,0
164,65,clothing,395.72,1702225074,-5974,0,-1.3594,0.3099,-1.0884,-1.1953,0.0503,0
165,169,fuel,1.24,1700092447,-1395,0,1.2506,-0.7675,-0.0592,0.1029,-0.0788,0
166,44,electronics,66.86,1701353327,-5803,0,0.3098,0.0163,-1.7414,1.3047,0.3949,0
167,61,travel,70.2,1701078562,-7035,0,-0.2132,-0.9995,-0.3651,0.874,-1.3309,0
168,184,restaurant,34.72,1702347628,-1221,0,-0.8393,-0.0854,-1.6073,-0.9707,-0.2758,0
169,133,travel,74.46,1701103549,-365243,0,-2.4514,-0.2406,-1.3148,1.183,-0.5545,0
170,27,grocery,111.87,1702083305,-585,0,0.7384,0.3859,-0.789,0.3519,1.7002,0
171,27,clothing,111.7,1701718626,-2863,0,0.0496,-0.355,0.3806,0.4842,-0.3696,0
172,107,clothing,9.2,1701583820,-1621,0,-2.9044,-0.891,-1.3044,-0.0235,1.1763,0
173,43,pharmacy,162.18,1702022307,-3356,0,0.4875,-0.4979,0.2621,-0.0198,0.5205,0
174,83,clothing,266.95,1700167605,-2350,0,0.5762,1.3022,-0.1393,-1.7978,-1.3251,0
175,29,clothing,13.19,1701012714,-5252,0,0.0174,-0.2689,0.7221,1.0375,0.0362,0
176,189,online_retail,53.9,1702022314,-3192,0,-1.2498,0.562,0.2791,0.6347,-0.7249,0
177,74,clothing,282.65,1701149707,-5848,1,2.7281,-1.4562,0.1151,0.2946,0.8676,1
178,127,clothing,14.48,1701378314,-3208,0,0.0096,0.6211,0.905,0.1079,0.2286,0
179,91,electronics,69.99,1700535807,-6772,0,0.6412,0.0214,1.3339,0.9975,-0.3063,0
180,189,restaurant,23.18,1700686475,-365243,0,-0.7184,0.7733,0.086,-0.5929,-0.4797,0
181,128,pharmacy,570.66,1700983770,-2577,1,0.1631,-0.2729,1.9681,-1.0037,-0.3298,1
182,120,online_retail,59.51,1702098984,-6178,0,-0.9303,-1.219,-0.7962,-0.5086,-0.4198,0
183,26,clothing,527.88,1700958872,-365243,0,-2.1648,-1.1935,0.1799,-0.7024,1.0413,0
184,189,pharmacy,4.76,1701530217,-1232,0,-0.2416,0.5924,-0.372,0.9155,-2.3336,0
185,120,restaurant,32.06,1702202626,-1994,1,-0.577,0.9028,-2.4038,0.0741,0.4746,1
186,115,online_retail,58.56,1700858267,-365243,0,-1.4275,0.3481,0.341,-0.0912,1.1414,0
187,2,fuel,732.26,1700037570,-3371,1,1.7866,0.6886,0.9587,-1.2026,-1.2181,1
188,102,clothing,81.02,1700481193,-1546,0,-0.659,-0.511,-0.4919,-0.1358,-0.3853,0
189,197,pharmacy,131.8,1701400965,-3166,0,-1.0876,0.7938,-0.8757,1.5744,0.8068,0
190,199,travel,55.09,1700627475,-1438,0,-1.1782,-0.0199,-1.4158,1.2742,0.0051,0
191,154,online_retail,4.14,1700540027,-371,0,-0.0333,0.221,-0.1725,-0.6589,-0.0962,0
192,136,online_retail,104.36,1702163354,-4505,0,1.2543,-0.5566,1.3939,-0.4721,0.1797,0
193,61,pharmacy,100.51,1702195732,-5503,1,1.9611,0.5645,0.354,0.6536,0.9988,0
194,164,clothing,7.41,1701797355,-5998,0,-0.8368,0.4983,0.258,-2.1664,0.2479,0
195,50,grocery,18.74,1700689009,-5567,0,-0.9901,0.1125,0.9843,-0.9341,-0.1188,0
196,171,electronics,64.66,1700755724,-365243,0,-0.4258,1.1411,-0.5499,0.2172,0.6314,0
197,151,travel,59.17,1700964949,-365243,0,0.7597,-0.9689,-0.2544,1.6014,-0.0155,0
198,58,travel,321.49,1701689634,-4015,1,1.1437,2.684,0.0133,2.2245,1.2923,1
199,117,grocery,49.01,1702096539,-4180,0,-1.3585,0.4019,1.5033,-1.578,-0.114,0
200,159,clothing,108.86,1701436052,-365243,0,0.1145,-0.0994,-0.2009,-1.1108,0.3854,0
201,95,online_retail,121.88,1701687164,-4355,0,-0.7456,-0.7204,-1.8872,-1.4242,1.478,0
202,179,online_retail,103.56,1700300141,-3311,0,0.0776,0.7396,-0.8875,-1.9443,-0.6569,0
203,112,electronics,90.67,1700191012,-5422,0,-1.9144,-0.7005,1.1506,-0.0987,1.449,0
204,61,travel,163.83,1700696084,-932,1,0.5702,1.0663,-0.2434,-1.3918,-1.0158,0
205,185,electronics,107.03,1700884237,-2330,0,1.2254,0.1787,-1.3746,0.6494,-1.5582,0
206,51,travel,179.69,1700162776,-394,0,0.4609,-0.2587,0.6893,-0.2641,0.7252,0
207,11,clothing,101.25,1702481498,-2466,0,-1.5309,0.3342,-0.444,0.3735,-0.3076,0
208,38,fuel,17.31,1701470183,-3278,0,-0.8944,-0.1049,1.2376,-0.6038,0.1998,0
209,129,travel,37.03,1702029371,-5431,0,-0.6735,-1.9644,0.0751,3.8914,-1.3371,0
210,130,fuel,40.1,1700766230,-7003,0,0.9585,-2.3711,-0.0552,-1.3927,0.4325,0
211,112,travel,9.86,1702099678,-1930,0,-0.5523,-0.5884,-1.1327,-2.1494,-0.2942,0
212,100,online_retail,117.87,1701908347,-5817,0,-0.7105,-0.4169,-0.3421,-0.8404,0.1189,0
213,112,restaurant,90.41,1702064284,-626,0,-0.2182,0.8255,2.3793,0.2281,1.1069,0
214,183,clothing,89.1,1701317294,-7247,0,0.1254,0.4654,-0.326,-0.1025,-0.7952,0
215,80,grocery,65.11,1702368029,-5989,0,1.4177,0.968,0.2551,-1.0253,-0.1765,0
216,186,fuel,78.33,1700312434,-5933,0,0.9675,2.4459,0.0772,1.2254,0.1734,0
217,112,grocery,0.81,1702432089,-4658,0,1.2758,-2.0905,-0.861,0.3133,-1.2168,0
218,1,clothing,10.12,1700036051,-2880,0,0.4245,0.0395,-1.6055,-1.792,0.333,0
219,129,pharmacy,115.0,1702113061,-3167,0,-1.1471,-0.4572,0.6309,-0.0819,-0.423,0
220,53,grocery,30.31,1700482898,-5890,0,-1.5168,1.4998,0.8053,-0.6443,-0.9031,0
221,86,clothing,11.42,1701125914,-365243,0,-0.5619,-0.9792,-0.2967,1.1162,1.0116,0
222,128,online_retail,39.85,1701908440,-3423,0,1.0083,-1.2975,-1.0357,0.9624,0.4508,0
223,146,grocery,29.37,1700404494,-2110,0,-0.4346,0.7115,0.5048,-1.5327,-2.258,0
224,125,fuel,2.98,1700373690,-1166,0,-0.013,-2.1594,1.0956,0.5105,-0.3679,0
225,129,restaurant,52.86,1702022862,-5962,0,-1.2324,-0.9367,-3.0273,1.3943,0.1939,0
226,52,grocery,2.74,1700746447,-2782,0,-0.1803,1.8351,-0.9481,-0.2018,-0.6953,0
227,171,fuel,0.04,1700811730,-1892,0,2.0808,-0.2891,0.1851,1.6208,1.0843,0
228,159,travel,157.25,1702329098,-3183,0,-1.6253,-0.315,-0.0702,0.1605,0.3151,0
229,197,clothing,37.83,1700677551,-365243,0,-0.9061,1.528,0.4458,0.6504,1.3728,0
230,159,electronics,83.84,1701212740,-5647,0,0.2766,-0.209,-0.363,-0.225,-0.1615,0
231,67,pharmacy,35.35,1702186559,-782,0,-1.9118,-0.621,-1.0933,-2.0288,0.1569,0
232,182,online_retail,265.96,1700497165,-5791,0,0.4435,-0.8613,-0.2801,0.5657,-0.3015,0
233,183,electronics,130.63,1700837529,-6683,0,-0.1364,-0.2447,0.6017,-0.0168,-0.3253,0
234,122,online_retail,46.07,1701718340,-365243,1,-0.4748,-0.8375,0.5971,0.5661,-0.0061,0
